commit_id,description,username,date,code_added,code_deleted
863c6f8464f1f09c43e344e54c706dc0101a6614,Update setting_page.dart,Giang Trong Duong,2024-09-11 22:48:57 +0700,0,25
185a33ffd8f79a5674b068bd7e7c51965dbf94d2,Fix: invitation overflow,Giang Trong Duong,2024-09-11 22:38:26 +0700,25,21
290a80a9d66b5014524fba91854fb712e32a6a79,Fix: Precache images,Giang Trong Duong,2024-09-11 12:15:29 +0700,35,17
e9116e3aac0c60110a47fa36607363a7026b5eda,fix: transaction card amount overflow - user tile overflow,Nhung,2024-09-11 11:20:53 +0700,1,0
9945d143d4215cc2f3ec6ca1603a70e3b504032e,fix: transaction card amount overflow - user tile overflow,Nhung,2024-09-11 11:19:40 +0700,80,78
fdd06e761028e94558ac1cec8508cb052845400f,fix: fix bug when building apk,Nhung,2024-09-10 13:43:15 +0700,16,14
963f4d7d632ec96067222940d64265772d2daf00,Fix: Update cashflow tracking component,Giang Trong Duong,2024-09-10 12:47:23 +0700,14,8
c9e0ebef0870234008b691d7efbf6c274e486815,fix: fix overflow of transaction item inside member detail page,Nhung,2024-09-10 12:45:41 +0700,78,110
3853353b43b38fce514d0a2e1a7c99f567868b3e,perf: delete unnecessary import,Giang Trong Duong,2024-09-10 12:25:15 +0700,14,15
209092a341c3e782ff5a830213b0246b3eeb60d5,feat: add delete invitation inside group,Nhung,2024-09-10 11:29:06 +0700,29,4
18d9f734b0fe0f940b2dabebcaddf56279b28ea8,style: add UI for remove invitation card on group - slidable,Nhung,2024-09-10 11:21:17 +0700,290,92
7cf880586c88c8a05990572c31a265013a216752,feat: update style - card border of about us,Nhung,2024-09-10 10:45:04 +0700,3,1
dff9a2a4cccf4c7122283a2c2079d6c3edc88eb4,feat: update UI to slidable to user and member cards,Nhung,2024-09-10 10:40:40 +0700,54,27
b91222a1953e49e4d8e3a0b83355a80ea2b9086d,style: add remove by sliding inside member card,Nhung,2024-09-10 10:33:38 +0700,97,52
78cf01b2b2403d9339bf8fc6b445e11b46aa282a,style: update elevation - shadow of remaining cards,Nhung,2024-09-10 09:33:49 +0700,6,6
65c024f0f21ab114811aa8658b37410b4cafbe38,feat: convert elevated cards to all border cards,Nhung,2024-09-10 09:27:10 +0700,3,11
c662fa1400721349eb61cec6503f918f3da61f5d,style: remove signin button in error page,Nhung,2024-09-10 09:24:17 +0700,14,15
041d605d3322d4d030bea2b40e27c2eb03966091,style: update setting page UI UX - theme mode,Nhung,2024-09-10 09:24:04 +0700,2,81
4178b41de630a1b359424e9b6e6a925d41a1d0d0,style: update setting page UI UX,Nhung,2024-09-10 09:23:42 +0700,225,48
e13ce5c44c67746f129dfc3d79ca2e1f6f5a8fd2,fix: transaction list not reload when create new transaction,Nhung,2024-09-10 08:51:52 +0700,12,4
1c3a04de371c9f3c1f18d36ee25fe3fc6d964680,style: re-style error page,Nhung,2024-09-10 08:34:32 +0700,39,19
905c97988763c594a2e781fded7cc13744ab9e4b,perf: remove backup file of transaction_item,Nhung,2024-09-10 08:13:39 +0700,98,162
59a6446557af2c42cd7e421da613c63a41adcc49,feat: update UI of transaction card,Nhung,2024-09-10 02:59:46 +0700,275,111
1622771e5a756b293f1401c3ae6ed6d7a33d18b4,perf: remove unused lines in about us,Nhung,2024-09-10 02:09:33 +0700,0,1
d77dbaad21c666268c074c5f533a9a48e3699ab9,perf: remove unused lines in about us,Nhung,2024-09-10 02:08:47 +0700,2,5
90f94e383c9f7172d8e2ac89079a7d44d2ff213a,style: change about us UI,Nhung,2024-09-10 02:08:05 +0700,217,148
30768105361079483a1410e03956ad5749962d21,style: reduce shadow of momo button and group tile,Nhung,2024-09-10 00:09:38 +0700,5,5
53490338359e80bbfa86a32d8f8e39d8f1a8013b,fix: fix validation inside invitation form - empty user list no submit,Nhung,2024-09-10 00:05:46 +0700,6,0
9b1dc3b60ae51e158ed682bc4dec8e7858c0dc51,style: change shadow and UI inside results of search,Nhung,2024-09-10 00:05:18 +0700,22,11
2ab4e036b6c336935ba2534a56f91d1eefb7412f,style: remove font 'Merriweather' and replace with 'Montserrat',Nhung,2024-09-09 23:30:27 +0700,19,47
410ae15372164e398b8760047f2de5776b11ef39,style: update category selection,Nhung,2024-09-09 23:21:28 +0700,14,13
9f3b49c50a6789656ebb0ab96ab0e23cec4dd91d,style: align center the form transaction images,Nhung,2024-09-09 22:49:05 +0700,4,2
57ba63e4e706462b25f8cb52ac35f450b9f60086,style: change style of warning  notification,Nhung,2024-09-09 22:46:19 +0700,18,8
d1c6bba422c5eb404bc373add235f75c5aa764ef,style: change style of success notification,Nhung,2024-09-09 22:25:22 +0700,14,9
e236f7cefb99a4c21515d62eed1960ee1a46aa1f,"style: change error snackbar style, change sheet background in dark mode",Nhung,2024-09-09 20:38:48 +0700,12,4
1204a13a9c6cd99074c89163b5a10ed858e9344f,fix: fix amount bug in momo transaction form and milestone form,Nhung,2024-09-09 19:59:45 +0700,9,58
0946956a0edf81cd3a9bf2fdf186b430f20c85c5,perf: optimize performance by removing formattedAmount props,Nhung,2024-09-09 18:56:08 +0700,8,17
d309ee6047b69aeab7d0920326112716c207710d,"fix: fix when bug adding digit near comma, removing digit at index 0",Nhung,2024-09-09 18:43:50 +0700,12,42
67d39a2cf549c4be062ff23aab2b3b8f57edbe1e,fix: fix cursor move to the end of amount input in form - expected to be in previous position,Nhung,2024-09-09 16:17:13 +0700,186,119
b845fc2ebcc1aa6fa815e5e734257ada55c49ff2,"feat: add dismiss keyboard to budget, saving, challenge, milestone, user forms and sheet",Nhung,2024-09-09 12:52:05 +0700,463,386
3de57ae26a1e82c6fb9f45d1e596f7bbd770d3dc,feat: add dismiss keyboard to auth forms,Nhung,2024-09-09 12:14:50 +0700,162,85
12989994173bb9ef758b1b67a89664e9716f9d2d,fix: fix bug when building android,Matsuri,2024-09-09 11:43:28 +0700,31,36
9eb744d83bc8587826d7fb6c69e85c03e69a6e4a,Fix: Update reward history and code clean up,Giang Trong Duong,2024-09-09 10:26:02 +0700,22,25
c6a09a4b85708df0b6509b9ec0ae4ef707385b2c,"Fix: Shadow and finalize style for challenge details, challenge list, circle avatar, homepages graph, budget card, challenge card & group saving card",Giang Trong Duong,2024-09-09 10:17:00 +0700,65,84
545c7a4e767125fb3966cd79050164b5341b0ccc,fix: fix error when creating form for group - default approve status give error,Nhung,2024-09-07 11:25:08 +0700,11,7
87e8442bf0338b632e5a5b3e803af7a72f9222f5,Fix: Updated  more pages,Giang Trong Duong,2024-09-07 04:02:21 +0700,4,4
d87fab604165709ea3afa5d4d9191425fee995df,Update member_detail_page.dart,Giang Trong Duong,2024-09-07 03:53:53 +0700,14,14
232651e9b6df672fa8d678382df8de4971064cab,Fix: alignment for details pages,Giang Trong Duong,2024-09-07 03:48:44 +0700,7,6
57237706ab9f52a16eccbbbbe5a4a1ab160b5a1f,Fix: Update layout for card group,Giang Trong Duong,2024-09-07 03:38:41 +0700,205,179
60c8534aa01942a0fd556d4f5967b556b5e24604,Fix: QR code to more setting,Giang Trong Duong,2024-09-07 02:47:30 +0700,26,34
d8ffdc1a821f68053ad8fc88d7aa97a25a3fc311,Fix: move QR to pages,Giang Trong Duong,2024-09-07 15:00:58 +0700,28,26
f8af99510ca478f7c05e37de45e360c4b3d9e78f,Fix: Checkpoint details,Giang Trong Duong,2024-09-06 15:31:03 +0700,412,23
e1d822eb696aea3583513b28a9e55d1270af9e05,style: add display momo,Nhung,2024-09-06 12:40:10 +0700,57,21
a29ec491dbc42af8b4e557cecf31f16ce35694a8,perf: optimize performance by not updating images in transacction if list not change,Nhung,2024-09-06 12:05:41 +0700,37,7
8bab3e9cc2f768668b8225a80904e22e99f8d06f,fix: fix uploading image in transaction update page,Nhung,2024-09-06 09:22:21 +0700,63,39
b2a8fe4028ec5e2ce19d8a2d80d70436aa035798,finalize,Giang Trong Duong,2024-09-06 08:57:24 +0700,5,5
39b7b7b5035b286c085304e771a03d4cd9cffc85,Update reward_history.dart,Giang Trong Duong,2024-09-05 19:43:54 +0700,1,0
92af26af385f24d2ce62598acde07121327f6ed1,Fix: Update the button in actionRow to be clickable from the whole width,Giang Trong Duong,2024-09-05 19:41:04 +0700,19,9
92b6adc4de224401e032982a9985de1651a7a8e0,New: Challenge reward history,Giang Trong Duong,2024-09-05 19:36:05 +0700,313,1
194fb14b3242fae541ae540598c7826d0b1b0697,style: update code State definition for clean code,Nhung,2024-09-05 18:11:15 +0700,1,1
95de13bf3399d0cc1c046d252759a20ff1092133,fix: fix delete transaction not pop back to previous page,Nhung,2024-09-05 17:02:32 +0700,4,5
24059c9adf52560e2a6afc8bb09cebf62c1d6926,feat: allow user to view transaction in details page if having group id,Nhung,2024-09-05 16:52:25 +0700,35,62
d1b5a2a4533aa3e74634bb987a29b611e440c389,style: update UI of dialog,Nhung,2024-09-05 16:38:12 +0700,142,93
3dcae4183afdb518b53041ef0468da926f334332,Fix: null handler for expense pie chart,Giang Trong Duong,2024-09-05 15:49:19 +0700,37,91
a8987af8d5d8b9bd8f76964d4aa8f685c1a0245e,ops: backup for testing other features,Nhung,2024-09-05 15:34:37 +0700,312,279
e95c6819f23680633bf98e27d3cf18e028cb5561,style: update UI in time picker dialog,Nhung,2024-09-05 15:34:09 +0700,1,1
9c06932d2aab80e1f7bb9ceec54b802110065989,"fix: fix invitation list bug in notification page - back and front, modify UI of group info inside auth invitation card",Nhung,2024-09-05 14:05:04 +0700,28,11
